date,country,state,lat,long,confirmed,confirmed_new,deaths,deaths_new,recovered,recovered_new
2020-01-22,china,qinghai,35.7452,95.9956,0,0,0,0,0.0,0.0
2020-01-23,china,qinghai,35.7452,95.9956,0,0,0,0,0.0,0.0
2020-01-24,china,qinghai,35.7452,95.9956,0,0,0,0,0.0,0.0
2020-01-25,china,qinghai,35.7452,95.9956,1,1,0,0,0.0,0.0
2020-01-26,china,qinghai,35.7452,95.9956,1,0,0,0,0.0,0.0
2020-01-27,china,qinghai,35.7452,95.9956,6,5,0,0,0.0,0.0
2020-01-28,china,qinghai,35.7452,95.9956,6,0,0,0,0.0,0.0
2020-01-29,china,qinghai,35.7452,95.9956,6,0,0,0,0.0,0.0
2020-01-30,china,qinghai,35.7452,95.9956,8,2,0,0,0.0,0.0
2020-01-31,china,qinghai,35.7452,95.9956,8,0,0,0,0.0,0.0
2020-02-01,china,qinghai,35.7452,95.9956,9,1,0,0,0.0,0.0
2020-02-02,china,qinghai,35.7452,95.9956,11,2,0,0,0.0,0.0
2020-02-03,china,qinghai,35.7452,95.9956,13,2,0,0,0.0,0.0
2020-02-04,china,qinghai,35.7452,95.9956,15,2,0,0,0.0,0.0
2020-02-05,china,qinghai,35.7452,95.9956,17,2,0,0,3.0,3.0
2020-02-06,china,qinghai,35.7452,95.9956,18,1,0,0,3.0,0.0
2020-02-07,china,qinghai,35.7452,95.9956,18,0,0,0,3.0,0.0
2020-02-08,china,qinghai,35.7452,95.9956,18,0,0,0,3.0,0.0
2020-02-09,china,qinghai,35.7452,95.9956,18,0,0,0,3.0,0.0
2020-02-10,china,qinghai,35.7452,95.9956,18,0,0,0,3.0,0.0
2020-02-11,china,qinghai,35.7452,95.9956,18,0,0,0,5.0,2.0
2020-02-12,china,qinghai,35.7452,95.9956,18,0,0,0,9.0,4.0
2020-02-13,china,qinghai,35.7452,95.9956,18,0,0,0,11.0,2.0
2020-02-14,china,qinghai,35.7452,95.9956,18,0,0,0,11.0,0.0
2020-02-15,china,qinghai,35.7452,95.9956,18,0,0,0,13.0,2.0
2020-02-16,china,qinghai,35.7452,95.9956,18,0,0,0,13.0,0.0
2020-02-17,china,qinghai,35.7452,95.9956,18,0,0,0,13.0,0.0
2020-02-18,china,qinghai,35.7452,95.9956,18,0,0,0,15.0,2.0
2020-02-19,china,qinghai,35.7452,95.9956,18,0,0,0,16.0,1.0
2020-02-20,china,qinghai,35.7452,95.9956,18,0,0,0,16.0,0.0
2020-02-21,china,qinghai,35.7452,95.9956,18,0,0,0,18.0,2.0
2020-02-22,china,qinghai,35.7452,95.9956,18,0,0,0,18.0,0.0
2020-02-23,china,qinghai,35.7452,95.9956,18,0,0,0,18.0,0.0
2020-02-24,china,qinghai,35.7452,95.9956,18,0,0,0,18.0,0.0
2020-02-25,china,qinghai,35.7452,95.9956,18,0,0,0,18.0,0.0
2020-02-26,china,qinghai,35.7452,95.9956,18,0,0,0,18.0,0.0
2020-02-27,china,qinghai,35.7452,95.9956,18,0,0,0,18.0,0.0
2020-02-28,china,qinghai,35.7452,95.9956,18,0,0,0,18.0,0.0
2020-02-29,china,qinghai,35.7452,95.9956,18,0,0,0,18.0,0.0
2020-03-01,china,qinghai,35.7452,95.9956,18,0,0,0,18.0,0.0
2020-03-02,china,qinghai,35.7452,95.9956,18,0,0,0,18.0,0.0
2020-03-03,china,qinghai,35.7452,95.9956,18,0,0,0,18.0,0.0
2020-03-04,china,qinghai,35.7452,95.9956,18,0,0,0,18.0,0.0
2020-03-05,china,qinghai,35.7452,95.9956,18,0,0,0,18.0,0.0
2020-03-06,china,qinghai,35.7452,95.9956,18,0,0,0,18.0,0.0
2020-03-07,china,qinghai,35.7452,95.9956,18,0,0,0,18.0,0.0
2020-03-08,china,qinghai,35.7452,95.9956,18,0,0,0,18.0,0.0
2020-03-09,china,qinghai,35.7452,95.9956,18,0,0,0,18.0,0.0
2020-03-10,china,qinghai,35.7452,95.9956,18,0,0,0,18.0,0.0
2020-03-11,china,qinghai,35.7452,95.9956,18,0,0,0,18.0,0.0
2020-03-12,china,qinghai,35.7452,95.9956,18,0,0,0,18.0,0.0
2020-03-13,china,qinghai,35.7452,95.9956,18,0,0,0,18.0,0.0
2020-03-14,china,qinghai,35.7452,95.9956,18,0,0,0,18.0,0.0
2020-03-15,china,qinghai,35.7452,95.9956,18,0,0,0,18.0,0.0
2020-03-16,china,qinghai,35.7452,95.9956,18,0,0,0,18.0,0.0
2020-03-17,china,qinghai,35.7452,95.9956,18,0,0,0,18.0,0.0
2020-03-18,china,qinghai,35.7452,95.9956,18,0,0,0,18.0,0.0
2020-03-19,china,qinghai,35.7452,95.9956,18,0,0,0,18.0,0.0
2020-03-20,china,qinghai,35.7452,95.9956,18,0,0,0,18.0,0.0
2020-03-21,china,qinghai,35.7452,95.9956,18,0,0,0,18.0,0.0
2020-03-22,china,qinghai,35.7452,95.9956,18,0,0,0,18.0,0.0
2020-03-23,china,qinghai,35.7452,95.9956,18,0,0,0,18.0,0.0
2020-03-24,china,qinghai,35.7452,95.9956,18,0,0,0,18.0,0.0
2020-03-25,china,qinghai,35.7452,95.9956,18,0,0,0,18.0,0.0
2020-03-26,china,qinghai,35.7452,95.9956,18,0,0,0,18.0,0.0
2020-03-27,china,qinghai,35.7452,95.9956,18,0,0,0,18.0,0.0
2020-03-28,china,qinghai,35.7452,95.9956,18,0,0,0,18.0,0.0
2020-03-29,china,qinghai,35.7452,95.9956,18,0,0,0,18.0,0.0
2020-03-30,china,qinghai,35.7452,95.9956,18,0,0,0,18.0,0.0
2020-03-31,china,qinghai,35.7452,95.9956,18,0,0,0,18.0,0.0
2020-04-01,china,qinghai,35.7452,95.9956,18,0,0,0,18.0,0.0
2020-04-02,china,qinghai,35.7452,95.9956,18,0,0,0,18.0,0.0
2020-04-03,china,qinghai,35.7452,95.9956,18,0,0,0,18.0,0.0
2020-04-04,china,qinghai,35.7452,95.9956,18,0,0,0,18.0,0.0
2020-04-05,china,qinghai,35.7452,95.9956,18,0,0,0,18.0,0.0
2020-04-06,china,qinghai,35.7452,95.9956,18,0,0,0,18.0,0.0
2020-04-07,china,qinghai,35.7452,95.9956,18,0,0,0,18.0,0.0
2020-04-08,china,qinghai,35.7452,95.9956,18,0,0,0,18.0,0.0
2020-04-09,china,qinghai,35.7452,95.9956,18,0,0,0,18.0,0.0
2020-04-10,china,qinghai,35.7452,95.9956,18,0,0,0,18.0,0.0
2020-04-11,china,qinghai,35.7452,95.9956,18,0,0,0,18.0,0.0
2020-04-12,china,qinghai,35.7452,95.9956,18,0,0,0,18.0,0.0
2020-04-13,china,qinghai,35.7452,95.9956,18,0,0,0,18.0,0.0
